,,mean,std
Logistic Regression,accuracy,0.749486248487125,0.016582677984275873
Logistic Regression,precision,0.7751708928878693,0.015400836893312578
Logistic Regression,recall,0.8787531854648419,0.018260690496074008
Logistic Regression,f1_score,0.8235299372642085,0.011219610770682916
Decision Tree,accuracy,0.7941993239013396,0.02467969031028809
Decision Tree,precision,0.8481332980328885,0.016049873000557824
Decision Tree,recall,0.8413062765455404,0.030004486200053346
Decision Tree,f1_score,0.8444869436285766,0.02009183833902285
SVM,accuracy,0.75275280664413,0.013464548593782833
SVM,precision,0.7732151886117556,0.011238070645607681
SVM,recall,0.8894941009910335,0.020946024384855714
SVM,f1_score,0.8271044620514949,0.01013253756688434
